"","Year","Max_Female","Country_Female","Max_Male","Country_Male"
"1",1841,47.24,"Sweden",43.05,"Sweden"
"2",1842,45.2,"Iceland",41.04,"Denmark"
"3",1843,45.16,"Denmark",42.67,"Denmark"
"4",1844,46.91,"Sweden",42.97,"Denmark"
"5",1845,48.5,"Sweden",43.51,"Sweden"
"6",1846,49.67,"Norway",46.44,"Norway"
"7",1847,46.08,"Norway",43.47,"Norway"
"8",1848,47.29,"Sweden",43.36,"Norway"
"9",1849,49.82,"Norway",46.31,"Norway"
"10",1850,51.28,"Norway",47.78,"Norway"
"11",1851,51.49,"Norway",47.97,"Norway"
"12",1852,49.94,"Norway",46.98,"Norway"
"13",1853,52.31,"Iceland",46.48,"Norway"
"14",1854,53.3,"Norway",49.92,"Norway"
"15",1855,52.26,"Norway",48.59,"Norway"
"16",1856,51.84,"Norway",48.84,"Norway"
"17",1857,51.6,"Norway",48.81,"Norway"
"18",1858,53.09,"Norway",50.04,"Norway"
"19",1859,51.28,"Norway",48.56,"Norway"
"20",1860,51.3,"Norway",48.67,"Norway"
"21",1861,49.01,"Denmark",46.27,"Denmark"
"22",1862,48.5,"Denmark",46.68,"Denmark"
"23",1863,48.52,"Denmark",46.6,"Denmark"
"24",1864,49.95,"Norway",47.62,"Norway"
"25",1865,51.85,"Norway",48.98,"Norway"
"26",1866,51.47,"Norway",48.35,"Norway"
"27",1867,49.55,"Norway",46.22,"Norway"
"28",1868,48.95,"Norway",45.42,"Norway"
"29",1869,50.99,"Norway",47.54,"Norway"
"30",1870,52.55,"Norway",49.18,"Norway"
"31",1871,51.4,"Norway",47.96,"Norway"
"32",1872,51.88,"Sweden",48.47,"Norway"
"33",1873,51.16,"Norway",48.19,"Norway"
"34",1874,49.23,"Norway",46.3,"Norway"
"35",1875,49.17,"Norway",46.1,"Norway"
"36",1876,48.31,"Norway",45.33,"Norway"
"37",1877,51.2,"Norway",48.3,"Norway"
"38",1878,53.18,"Norway",50.4,"Norway"
"39",1879,54.36,"Norway",51.93,"Norway"
"40",1880,53.27,"Norway",50.5,"Norway"
"41",1881,51.85,"Norway",49.03,"Norway"
"42",1882,50.03,"Sweden",46.78,"Sweden"
"43",1883,50.7,"Norway",48.49,"Norway"
"44",1884,52,"Norway",49.52,"Norway"
"45",1885,52.3,"Norway",49.76,"Norway"
"46",1886,52.88,"Norway",50.48,"Norway"
"47",1887,52.84,"Sweden",50.56,"Norway"
"48",1888,53.5,"Sweden",50.97,"Sweden"
"49",1889,54.36,"Iceland",51.05,"Sweden"
"50",1890,51.77,"Sweden",49.08,"Sweden"
"51",1891,52.5,"Sweden",49.53,"Sweden"
"52",1892,55.59,"Iceland",49.91,"Iceland"
"53",1893,57.13,"Iceland",49.79,"Sweden"
"54",1894,53.05,"Sweden",50.71,"Sweden"
"55",1895,55.29,"Sweden",52.7,"Sweden"
"56",1896,55.89,"Iceland",52.05,"Sweden"
"57",1897,55.64,"Norway",52.71,"Sweden"
"58",1898,56.03,"Sweden",53.12,"Sweden"
"59",1899,53.45,"Iceland",49.8,"Norway"
"60",1900,55.14,"Norway",51.77,"Norway"
"61",1901,60.53,"New Zealand",58.43,"New Zealand"
"62",1902,59.3,"New Zealand",56.62,"New Zealand"
"63",1903,59.53,"New Zealand",56.94,"New Zealand"
"64",1904,61.86,"New Zealand",58.92,"New Zealand"
"65",1905,62.45,"New Zealand",60.25,"New Zealand"
"66",1906,62.83,"New Zealand",60,"New Zealand"
"67",1907,58.95,"New Zealand",56.85,"New Zealand"
"68",1908,62.49,"New Zealand",59.34,"New Zealand"
"69",1909,63.24,"New Zealand",60.27,"New Zealand"
"70",1910,62.5,"New Zealand",59.85,"New Zealand"
"71",1911,63.34,"New Zealand",60.41,"New Zealand"
"72",1912,64.54,"New Zealand",61.63,"New Zealand"
"73",1913,63.15,"New Zealand",60.34,"New Zealand"
"74",1914,64.14,"New Zealand",60.53,"New Zealand"
"75",1915,64.52,"New Zealand",61.22,"New Zealand"
"76",1916,63.93,"New Zealand",60.03,"New Zealand"
"77",1917,64.29,"New Zealand",61.29,"New Zealand"
"78",1918,57.41,"New Zealand",55.14,"Denmark"
"79",1919,64.73,"New Zealand",61.62,"New Zealand"
"80",1920,62.29,"New Zealand",60.13,"New Zealand"
"81",1921,65.52,"New Zealand",62.39,"New Zealand"
"82",1922,65.44,"New Zealand",63.05,"New Zealand"
"83",1923,65.05,"New Zealand",62.6,"New Zealand"
"84",1924,66.69,"New Zealand",63.7,"New Zealand"
"85",1925,66.53,"New Zealand",64.05,"New Zealand"
"86",1926,66.13,"New Zealand",63.34,"New Zealand"
"87",1927,66.75,"New Zealand",64.03,"New Zealand"
"88",1928,66.71,"New Zealand",64,"New Zealand"
"89",1929,66.9,"New Zealand",63.68,"New Zealand"
"90",1930,67.31,"New Zealand",64.28,"New Zealand"
"91",1931,67.78,"New Zealand",64.93,"New Zealand"
"92",1932,68.28,"New Zealand",66.33,"New Zealand"
"93",1933,69.03,"New Zealand",66.21,"New Zealand"
"94",1934,68.51,"New Zealand",65.88,"Netherlands"
"95",1935,69.14,"New Zealand",66.42,"New Zealand"
"96",1936,68.48,"New Zealand",66.08,"Netherlands"
"97",1937,68.6,"New Zealand",66.23,"Netherlands"
"98",1938,68.98,"Norway",66.55,"Netherlands"
"99",1939,69.26,"New Zealand",66.92,"Netherlands"
"100",1940,69.7,"New Zealand",66.13,"New Zealand"
"101",1941,69.2,"New Zealand",65.75,"New Zealand"
"102",1942,70.36,"Sweden",67.57,"Sweden"
"103",1943,70.08,"Sweden",67.34,"Sweden"
"104",1944,70.01,"New Zealand",66.25,"Australia"
"105",1945,70.45,"Norway",67.16,"Sweden"
"106",1946,71.7,"Iceland",68.36,"Sweden"
"107",1947,71.67,"Norway",68.35,"Norway"
"108",1948,72.86,"Norway",69.72,"Netherlands"
"109",1949,73.21,"Iceland",69.98,"Norway"
"110",1950,73.52,"Iceland",70.31,"Netherlands"
"111",1951,74.29,"Norway",70.76,"Norway"
"112",1952,74.86,"Iceland",70.99,"Norway"
"113",1953,75.07,"Norway",71.24,"Norway"
"114",1954,75.6,"Iceland",71.33,"Norway"
"115",1955,75.91,"Iceland",71.53,"Norway"
"116",1956,75.53,"Norway",71.49,"Iceland"
"117",1957,75.53,"Norway",71.72,"Iceland"
"118",1958,75.95,"Iceland",71.53,"Sweden"
"119",1959,75.79,"Norway",71.58,"Sweden"
"120",1960,75.86,"Norway",72.42,"Iceland"
"121",1961,76.19,"Iceland",71.64,"Sweden"
"122",1962,76.07,"Iceland",71.36,"Sweden"
"123",1963,76.02,"Iceland",71.53,"Sweden"
"124",1964,76.67,"Belarus",71.62,"Sweden"
"125",1965,76.53,"Norway",71.74,"Sweden"
"126",1966,76.71,"Norway",71.84,"Sweden"
"127",1967,76.94,"Norway",71.85,"Sweden"
"128",1968,76.79,"Norway",71.71,"Sweden"
"129",1969,76.67,"Norway",71.71,"Sweden"
"130",1970,77.32,"Norway",72.23,"Sweden"
"131",1971,77.39,"Sweden",71.97,"Sweden"
"132",1972,77.53,"Sweden",72.12,"Iceland"
"133",1973,77.72,"Sweden",72.16,"Sweden"
"134",1974,77.97,"Norway",72.2,"Sweden"
"135",1975,78.66,"Iceland",72.22,"Iceland"
"136",1976,79.88,"Iceland",73.7,"Iceland"
"137",1977,79.23,"Iceland",73.14,"Iceland"
"138",1978,79.27,"Iceland",73.63,"Iceland"
"139",1979,79.34,"Iceland",73.96,"Iceland"
"140",1980,80.07,"Iceland",73.39,"Iceland"
"141",1981,79.54,"Iceland",73.81,"Japan"
"142",1982,79.73,"Japan",74.52,"Iceland"
"143",1983,80.35,"Iceland",74.24,"Japan"
"144",1984,80.26,"Japan",74.72,"Iceland"
"145",1985,80.55,"Japan",74.89,"Japan"
"146",1986,80.98,"Japan",75.4,"Iceland"
"147",1987,81.43,"Japan",75.65,"Japan"
"148",1988,81.33,"Japan",75.59,"Japan"
"149",1989,81.8,"Japan",76.11,"Iceland"
"150",1990,81.86,"Japan",75.94,"Japan"
"151",1991,82.17,"Japan",76.16,"Japan"
"152",1992,82.29,"Japan",76.71,"Iceland"
"153",1993,82.45,"Japan",77.05,"Iceland"
"154",1994,82.9,"Japan",77.09,"Iceland"
"155",1995,82.78,"Japan",76.41,"Japan"
"156",1996,83.5,"Japan",77.03,"Japan"
"157",1997,83.73,"Japan",77.24,"Japan"
"158",1998,83.92,"Japan",77.68,"Iceland"
"159",1999,83.92,"Japan",77.59,"Hong Kong"
"160",2000,84.52,"Japan",77.84,"Iceland"
"161",2001,84.85,"Japan",78.26,"Iceland"
"162",2002,85.15,"Japan",78.52,"Iceland"
"163",2003,85.25,"Japan",79.48,"Iceland"
"164",2004,85.5,"Japan",78.89,"Iceland"
"165",2005,85.42,"Japan",79.45,"Iceland"
"166",2006,85.7,"Japan",79.36,"Iceland"
"167",2007,85.88,"Japan",79.43,"Iceland"
"168",2008,85.96,"Japan",79.77,"Iceland"
"169",2009,86.34,"Japan",79.71,"Hong Kong"
"170",2010,86.25,"Japan",80.03,"Switzerland"
"171",2011,86.02,"Hong Kong",80.36,"Iceland"
"172",2012,86.37,"Japan",81.14,"Iceland"
"173",2013,86.56,"Japan",80.86,"Hong Kong"
"174",2014,86.77,"Japan",81.05,"Hong Kong"
"175",2015,86.98,"Japan",81.27,"Hong Kong"
"176",2016,87.13,"Japan",81.52,"Switzerland"
"177",2017,87.29,"Hong Kong",81.7,"Hong Kong"
"178",2018,87.67,"Hong Kong",82.01,"Hong Kong"
"179",2019,87.74,"Hong Kong",82.06,"Hong Kong"
"180",2020,87.75,"Japan",82.17,"Hong Kong"
"181",2021,87.93,"Hong Kong",82.48,"Hong Kong"
"182",2022,87.12,"Japan",81.62,"Switzerland"
"183",2023,87.98,"Hong Kong",82.48,"Hong Kong"
"184",2024,83.9,"Denmark",80.17,"Denmark"
